Source,Target,Type,Id,Label,Weight,0
7730.0,13486.0,Undirected,114,,1,0
7730.0,12116.0,Undirected,115,,1,0
6950.0,8466.0,Undirected,116,,1,0
6950.0,4962.0,Undirected,117,,1,0
8466.0,14450.0,Undirected,118,,1,0
6032.0,5659.0,Undirected,119,,1,0
6032.0,5648.0,Undirected,120,,1,0
5659.0,12634.0,Undirected,121,,1,0
11177.0,9234.0,Undirected,122,,1,0
11177.0,321.0,Undirected,123,,1,0
9234.0,14788.0,Undirected,124,,1,0
8623.0,14138.0,Undirected,125,,1,0
8623.0,7042.0,Undirected,126,,1,0
8623.0,6366.0,Undirected,127,,1,0
8623.0,8661.0,Undirected,128,,1,0
8623.0,8917.0,Undirected,129,,1,0
7698.0,18169.0,Undirected,130,,1,0
7698.0,583.0,Undirected,131,,1,0
9190.0,18605.0,Undirected,132,,1,0
9190.0,20717.0,Undirected,133,,1,0
9190.0,2719.0,Undirected,134,,1,0
9190.0,18439.0,Undirected,135,,1,0
9190.0,566.0,Undirected,136,,1,0
9190.0,1357.0,Undirected,137,,1,0
9190.0,1817.0,Undirected,138,,1,0
2719.0,3425.0,Undirected,139,,1,0
18439.0,12769.0,Undirected,140,,1,0
566.0,3491.0,Undirected,141,,1,0
1357.0,11347.0,Undirected,142,,1,0
545.0,13244.0,Undirected,143,,1,0
545.0,11348.0,Undirected,144,,1,0
545.0,19816.0,Undirected,145,,1,0
545.0,21169.0,Undirected,146,,1,0
545.0,9023.0,Undirected,147,,1,0
545.0,14385.0,Undirected,148,,1,0
545.0,17756.0,Undirected,149,,1,0
545.0,10296.0,Undirected,150,,1,0
545.0,12700.0,Undirected,151,,1,0
11348.0,686.0,Undirected,152,,1,0
11348.0,14505.0,Undirected,153,,1,0
11348.0,6472.0,Undirected,154,,1,0
9023.0,6940.0,Undirected,155,,1,0
14385.0,656.0,Undirected,156,,1,0
5062.0,10183.0,Undirected,157,,1,0
5062.0,11478.0,Undirected,158,,1,0
10183.0,15243.0,Undirected,159,,1,0
4540.0,16644.0,Undirected,160,,1,0
4540.0,1469.0,Undirected,161,,1,0
11415.0,13866.0,Undirected,162,,1,0
11415.0,1193.0,Undirected,163,,1,0
11415.0,11462.0,Undirected,164,,1,0
11415.0,12177.0,Undirected,165,,1,0
11415.0,2803.0,Undirected,166,,1,0
11415.0,5271.0,Undirected,167,,1,0
11415.0,12128.0,Undirected,168,,1,0
13866.0,12268.0,Undirected,169,,1,0
8221.0,12495.0,Undirected,170,,1,0
8221.0,15474.0,Undirected,171,,1,0
8221.0,17003.0,Undirected,172,,1,0
8221.0,9876.0,Undirected,173,,1,0
12495.0,6929.0,Undirected,174,,1,0
9941.0,19288.0,Undirected,175,,1,0
9941.0,19009.0,Undirected,176,,1,0
9941.0,17596.0,Undirected,177,,1,0
9941.0,7531.0,Undirected,178,,1,0
11279.0,20161.0,Undirected,179,,1,0
11279.0,8813.0,Undirected,180,,1,0
11279.0,15038.0,Undirected,181,,1,0
11279.0,18739.0,Undirected,182,,1,0
11279.0,19509.0,Undirected,183,,1,0
11279.0,7235.0,Undirected,184,,1,0
11279.0,2091.0,Undirected,185,,1,0
11279.0,14683.0,Undirected,186,,1,0
11279.0,1941.0,Undirected,187,,1,0
11279.0,11029.0,Undirected,188,,1,0
11279.0,6019.0,Undirected,189,,1,0
11279.0,11354.0,Undirected,190,,1,0
11279.0,19623.0,Undirected,191,,1,0
11279.0,15996.0,Undirected,192,,1,0
11279.0,12081.0,Undirected,193,,1,0
11279.0,5841.0,Undirected,194,,1,0
11279.0,2874.0,Undirected,195,,1,0
11279.0,6347.0,Undirected,196,,1,0
11279.0,12404.0,Undirected,197,,1,0
11279.0,17431.0,Undirected,198,,1,0
11279.0,15847.0,Undirected,199,,1,0
11279.0,14212.0,Undirected,200,,1,0
11279.0,21237.0,Undirected,201,,1,0
11279.0,15707.0,Undirected,202,,1,0
11279.0,2741.0,Undirected,203,,1,0
11279.0,5473.0,Undirected,204,,1,0
11279.0,11185.0,Undirected,205,,1,0
11279.0,6035.0,Undirected,206,,1,0
11279.0,17490.0,Undirected,207,,1,0
11279.0,3250.0,Undirected,208,,1,0
11279.0,13783.0,Undirected,209,,1,0
11279.0,15706.0,Undirected,210,,1,0
11279.0,5268.0,Undirected,211,,1,0
11279.0,11808.0,Undirected,212,,1,0
11279.0,2993.0,Undirected,213,,1,0
11279.0,20272.0,Undirected,214,,1,0
11279.0,2261.0,Undirected,215,,1,0
11279.0,15337.0,Undirected,216,,1,0
11279.0,1914.0,Undirected,217,,1,0
11279.0,4842.0,Undirected,218,,1,0
8813.0,9932.0,Undirected,219,,1,0
8813.0,10501.0,Undirected,220,,1,0
8813.0,5323.0,Undirected,221,,1,0
7235.0,5448.0,Undirected,222,,1,0
2091.0,8819.0,Undirected,223,,1,0
1941.0,12742.0,Undirected,224,,1,0
1941.0,84.0,Undirected,225,,1,0
11029.0,5147.0,Undirected,226,,1,0
6019.0,14791.0,Undirected,227,,1,0
11354.0,5865.0,Undirected,228,,1,0
12081.0,20896.0,Undirected,229,,1,0
5841.0,10494.0,Undirected,230,,1,0
2874.0,2475.0,Undirected,231,,1,0
6347.0,3511.0,Undirected,232,,1,0
12404.0,873.0,Undirected,233,,1,0
2741.0,20492.0,Undirected,234,,1,0
5473.0,11785.0,Undirected,235,,1,0
11185.0,10230.0,Undirected,236,,1,0
6035.0,10297.0,Undirected,237,,1,0
3250.0,17214.0,Undirected,238,,1,0
5268.0,2180.0,Undirected,239,,1,0
5268.0,8990.0,Undirected,240,,1,0
5268.0,18355.0,Undirected,241,,1,0
11808.0,8481.0,Undirected,242,,1,0
2993.0,4036.0,Undirected,243,,1,0
2261.0,2287.0,Undirected,244,,1,0
1914.0,14939.0,Undirected,245,,1,0
5842.0,4769.0,Undirected,246,,1,0
5842.0,6252.0,Undirected,247,,1,0
4769.0,6665.0,Undirected,248,,1,0
7613.0,17360.0,Undirected,249,,1,0
7613.0,3506.0,Undirected,250,,1,0
5418.0,9057.0,Undirected,251,,1,0
5418.0,6851.0,Undirected,252,,1,0
9057.0,7452.0,Undirected,253,,1,0
10625.0,18031.0,Undirected,254,,1,0
10625.0,15980.0,Undirected,255,,1,0
10625.0,8472.0,Undirected,256,,1,0
10625.0,11399.0,Undirected,257,,1,0
10625.0,13528.0,Undirected,258,,1,0
10625.0,12117.0,Undirected,259,,1,0
10625.0,20785.0,Undirected,260,,1,0
10625.0,1272.0,Undirected,261,,1,0
10625.0,12152.0,Undirected,262,,1,0
10625.0,11391.0,Undirected,263,,1,0
10625.0,7441.0,Undirected,264,,1,0
10625.0,8133.0,Undirected,265,,1,0
10625.0,4236.0,Undirected,266,,1,0
10625.0,19260.0,Undirected,267,,1,0
2039.0,16964.0,Undirected,268,,1,0
2039.0,7490.0,Undirected,269,,1,0
16964.0,500.0,Undirected,270,,1,0
16964.0,6626.0,Undirected,271,,1,0
16964.0,4180.0,Undirected,272,,1,0
16964.0,11402.0,Undirected,273,,1,0
